股票代码,股票名称,上市日期
000001,平安银行,1991-04-03
000002,万科A,1991-01-29
000008,神州高铁,1992-05-07
000009,中国宝安,1991-06-25
000012,南玻A,1992-02-28
000016,深康佳A,1992-03-27
000021,深科技,1994-02-02
000022,深赤湾A,1993-05-05
000024,招商地产,1993-06-07
000027,深圳能源,1993-09-03
000029,深深房A,1993-09-15
000031,大悦城,1993-10-08
000036,华联控股,1994-06-17
000039,中集集团,1994-04-08
000046,*ST泛海,1994-09-12
000059,华锦股份,1997-01-30
000060,中金岭南,1997-01-23
000061,农产品,1997-01-10
000063,中兴通讯,1997-11-18
000066,中国长城,1997-06-26
000068,华控赛格,1997-06-11
000069,华侨城A,1997-09-10
000088,盐田港,1997-07-28
000089,深圳机场,1998-04-20
000099,中信海直,2000-07-31
000100,TCL科技,2004-01-30
000156,华数传媒,2000-09-06
000157,中联重科,2000-10-12
000166,申万宏源,2015-01-26
000301,东方盛虹,2000-05-29
000333,美的集团,2013-09-18
000338,潍柴动力,2007-04-30
000400,许继电气,1997-04-18
000401,金隅冀东,1996-06-14
000402,金融街,1996-06-26
000408,藏格矿业,1996-06-28
000410,沈阳机床,1996-07-18
000413,ST旭电,1996-09-25
000415,渤海租赁,1996-07-16
000422,湖北宜化,1996-08-15
000423,东阿阿胶,1996-07-29
000425,徐工机械,1996-08-28
000429,粤高速A,1998-02-20
000488,ST晨鸣,2000-11-20
000503,国新健康,1992-11-30
000507,珠海港,1993-03-26
000511,烯碳退,1993-05-18
000518,*ST四环,1993-09-08
000520,凤凰航运,1993-10-25
000527,美的电器,1993-11-12
000528,柳工,1993-11-18
000533,顺钠股份,1994-01-03
000536,华映科技,1993-11-26
000538,云南白药,1993-12-15
000539,粤电力A,1993-11-26
000540,*ST中天,1994-02-02
000541,佛山照明,1993-11-23
000543,皖能电力,1993-12-20
000550,江铃汽车,1993-12-01
000553,安道麦A,1993-12-03
000555,神州信息,1994-04-08
000559,万向钱潮,1994-01-10
000562,宏源证券,1994-02-02
000568,泸州老窖,1994-05-09
000571,新大洲A,1994-05-25
000572,海马汽车,1994-08-08
000573,粤宏远A,1994-08-15
000581,威孚高科,1998-09-24
000596,古井贡酒,1996-09-27
000598,兴蓉环境,1996-05-29
000599,青岛双星,1996-04-30
000601,韶能股份,1996-08-30
000607,华媒控股,1996-08-30
000612,焦作万方,1996-09-26
000617,中油资本,1996-10-22
000623,吉林敖东,1996-10-28
000625,长安汽车,1997-06-10
000627,*ST天茂,1996-11-12
000629,钒钛股份,1996-11-15
000630,铜陵有色,1996-11-20
000631,顺发恒能,1996-11-22
000636,风华高科,1996-11-29
000651,格力电器,1996-11-18
000652,泰达股份,1996-11-28
000656,*ST金科,1996-11-28
000659,珠海中富,1996-12-03
000661,长春高新,1996-12-18
000666,经纬纺机,1996-12-10
000667,ST美置,1996-12-05
000671,ST阳光城,1996-12-18
000680,山推股份,1997-01-22
000682,东方电子,1997-01-21
000685,中山公用,1997-01-23
000686,东北证券,1997-02-27
000690,宝新能源,1997-01-28
000698,ST沈化,1997-02-20
000703,恒逸石化,1997-03-28
000707,双环科技,1997-04-15
000708,中信特钢,1997-03-26
000709,河钢股份,1997-04-16
000712,锦龙股份,1997-04-15
000717,中南股份,1997-05-08
000718,苏宁环球,1997-04-08
000723,美锦能源,1997-05-15
000725,京东方A,2001-01-12
000726,鲁泰A,2000-12-25
000727,冠捷科技,1997-05-20
000728,国元证券,1997-06-16
000729,燕京啤酒,1997-07-16
000733,振华科技,1997-07-03
000735,罗牛山,1997-06-11
000737,北方铜业,1997-04-28
000738,航发控制,1997-06-26
000750,国海证券,1997-07-09
000751,锌业股份,1997-06-26
000755,山西高速,1997-06-27
000758,中色股份,1997-04-16
000761,本钢板材,1998-01-15
000767,晋控电力,1997-06-09
000768,中航西飞,1997-06-26
000776,广发证券,1997-06-11
000778,新兴铸管,1997-06-06
000780,ST平能,1997-06-06
000783,长江证券,1997-07-31
000786,北新建材,1997-06-06
000792,盐湖股份,1997-09-04
000793,*ST华闻,1997-07-29
000800,一汽解放,1997-06-18
000806,银河退,1998-04-16
000807,云铝股份,1998-04-08
000822,山东海化,1998-07-03
000825,太钢不锈,1998-10-21
000826,启迪环境,1998-02-25
000828,东莞控股,1997-06-17
000829,天音控股,1997-12-02
000831,中国稀土,1998-09-11
000839,国安股份,1997-10-31
000858,五粮液,1998-04-27
000860,顺鑫农业,1998-11-04
000869,张裕A,2000-10-26
000875,电投绿能,2002-09-26
000876,新希望,1998-03-11
000877,天山股份,1999-01-07
000878,云南铜业,1998-06-02
000883,湖北能源,1998-05-19
000886,海南高速,1998-01-23
000895,双汇发展,1998-12-10
000897,津滨发展,1999-04-22
000898,鞍钢股份,1997-12-25
000900,现代投资,1999-01-28
000912,泸天化,1999-06-03
000916,华北高速,1999-09-27
000917,电广传媒,1999-03-25
000920,沃顿科技,1999-06-16
000927,中国铁物,1999-07-27
000930,中粮科技,1999-07-12
000932,华菱钢铁,1999-08-03
000933,神火股份,1999-08-31
000937,冀中能源,1999-09-09
000938,紫光股份,1999-11-04
000939,凯迪退,1999-09-23
000949,新乡化纤,1999-10-21
000951,中国重汽,1999-11-25
000959,首钢股份,1999-12-16
000960,锡业股份,2000-02-21
000961,ST中南,2000-03-01
000962,东方钽业,2000-01-20
000963,华东医药,2000-01-27
000968,蓝焰控股,2000-06-22
000969,安泰科技,2000-05-29
000970,中科三环,2000-04-20
000975,山金国际,2000-06-08
000977,浪潮信息,2000-06-08
000983,山西焦煤,2000-07-26
000997,新大陆,2000-08-07
000999,华润三九,2000-03-09
001289,龙源电力,2022-01-24
001965,招商公路,2017-12-25
001979,招商蛇口,2015-12-30
002001,新和成,2004-06-25
002007,华兰生物,2004-06-25
002008,大族激光,2004-06-25
002010,传化智联,2004-06-29
002024,ST易购,2004-07-21
002025,航天电器,2004-07-26
002027,分众传媒,2004-08-04
002028,思源电气,2004-08-05
002032,苏泊尔,2004-08-17
002038,双鹭药业,2004-09-09
002044,美年健康,2005-05-18
002049,紫光国微,2005-06-06
002050,三花智控,2005-06-07
002051,中工国际,2006-06-19
002052,同洲电子,2006-06-27
002064,华峰化学,2006-08-23
002065,东华软件,2006-08-23
002069,獐子岛,2006-09-28
002073,软控股份,2006-10-18
002074,国轩高科,2006-10-18
002081,金螳螂,2006-11-20
002085,万丰奥威,2006-11-28
002092,中泰化学,2006-12-08
002097,山河智能,2006-12-22
002106,莱宝高科,2007-01-12
002110,三钢闽光,2007-01-26
002120,韵达股份,2007-03-06
002122,ST汇洲,2007-03-28
002128,电投能源,2007-04-18
002129,TCL中环,2007-04-20
002131,利欧股份,2007-04-27
002142,宁波银行,2007-07-19
002146,荣盛发展,2007-08-08
002152,广电运通,2007-08-13
002153,石基信息,2007-08-13
002155,湖南黄金,2007-08-16
002157,正邦科技,2007-08-17
002174,游族网络,2007-09-25
002179,中航光电,2007-11-01
002180,纳思达,2007-11-13
002183,怡亚通,2007-11-13
002195,岩山科技,2007-12-12
002202,金风科技,2007-12-26
002230,科大讯飞,2008-05-12
002236,大华股份,2008-05-20
002241,歌尔股份,2008-05-22
